"Jonas Aurelianensis, Epistola ad Waltcaudum Leodiensem","Vienna, ONB, 550"
Passio S Hugberti,"Vienna, ONB, 550"
Passio S Luciae,"Vienna, ONB, 550"
Passio S Anastasiae,"Vienna, ONB, 550"
Passio S Caeciliae,"Vienna, ONB, 550"
Passio S Eugeniae,"Vienna, ONB, 550"
Passio S Euphemiae,"Vienna, ONB, 550"
Gospel of Pseudo-Matthew,"Vienna, ONB, 550"
Vita S Vedasti,"Vienna, ONB, 550"
"Alcuin, Homelia in die natali S Vedasti","Vienna, ONB, 550"
"Alcuin, Versus duo in abbatem Radonem","Vienna, ONB, 550"
"Alcuin, Hymnus in Vedastum","Vienna, ONB, 550"
"Alcuin, Versus aliquot in S Vedastum","Vienna, ONB, 550"
Passio SS Faustini et Iovitae,"Vienna, ONB, 550"
"Ambrose, Commentarius in epistolam primam Pauli ad Corinthios","Vienna, ONB, 550"
Passio S Christophori,"Vienna, ONB, 550"
Gospel of Pseudo-Matthew,"Rheims, BM 1395"
Transitus of Mary (Ps-Melito),"Rheims, BM 1395"
"Ambrose Autpert, Sermo de assumptione Mariae","Rheims, BM 1395"
Miraculorum S Dionysii,"Rheims, BM 1395"
Vita S Remigii,"Rheims, BM 1395"
Esther,"Rheims, BM 1395"
Invention of the Cross,"Rheims, BM 1395"
Exaltation of the Cross,"Rheims, BM 1395"
"Gregory of Tours, On the Cross","Rheims, BM 1395"
Invention of the Cross,"Rheims, BM 1395"
Transitus of Mary (Ps-Melito),"Rheims, BM 1395"
"Passio SS Petrus, Paulus, Andrea, et Dyonysia","Rheims, BM 1395"
Passio S Margaretae,"Rheims, BM 1395"
Passio S Marinae,"Rheims, BM 1395"
Vitae B Alcuini,"Rheims, BM 1395"
Passio S Eleutherii,"Rheims, BM 1395"
Vita S Euphrosinae,"Rheims, BM 1395"
"Paulinus of Milan, Vita S Ambrosii","Rheims, BM 1395"
"Passionis SS Secundiani, Marcelliani, et Veriani","Rheims, BM 1395"
Martyrdom of Andrew,"Rheims, BM 1395"
Passio S Agathae,"Rheims, BM 1395"
Passio S Anastasiae,"Rheims, BM 1395"
"Hincmar, Letter to Odo","Gand, UB 239"
Gospel of Pseudo-Matthew,"Gand, UB 239"
Transitus of Mary (Ps-Melito),"Gand, UB 239"
Gospel of Nicodemus,"Gand, UB 239"
"Ps-Jerome, Epistola ad Paulam et Eustochium de assumptione S Mariae","Gand, UB 239"
"Didymus, De Spiritu sancto","Gand, UB 239"
"Cassiodorus, De anima","Gand, UB 239"
"Defensor, Liber Scintillarum","Rheims, BM 582"
"Augustine, De conflictu vitiorum et virtutum","Rheims, BM 582"
Sermons,"Rheims, BM 582"
Penitential texts,"Rheims, BM 582"
Tables of Virtues,"Rheims, BM 582"
Theological Excerpts,"Rheims, BM 582"
Miracles of the Virgin,"Rheims, BM 582"
Gospel of Pseudo-Matthew,"Rheims, BM 582"
Transitus of Mary (Ps-Melito),"Rheims, BM 582"
Poetic Life of S Agnes,"Rheims, BM 582"
"Maurice de Sully, Sermons","Rheims, BM 582"
Prayers to the Virgin Mary,"Rheims, BM 582"
Gospel of Pseudo-Matthew,"Namur, Bib. Sem., lat. 80"
Disobedience of Dimas,"Namur, Bib. Sem., lat. 80"
Transitus of Mary (Ps-Melito),"Namur, Bib. Sem., lat. 80"
Healing of Tiberius,"Namur, Bib. Sem., lat. 80"
Genealogies of Mary,"Namur, Bib. Sem., lat. 80"
Aetas S Mariae,"Namur, Bib. Sem., lat. 80"
De tribus magis,"Namur, Bib. Sem., lat. 80"
Miracles of the Virgin,"Namur, Bib. Sem., lat. 80"
Exempla Mariae,"Namur, Bib. Sem., lat. 80"
???,"Namur, Bib. Sem., lat. 80"
Gospel of Pseudo-Matthew,"Uppsala, UB, C 225"
"Fulbert, Sermo de natiuitate Mariae","Uppsala, UB, C 225"
Gospel of Nicodemus,"Uppsala, UB, C 225"
Sermo de assumptione S Mariae virginis,"Uppsala, UB, C 225"
Miracles of the Virgin,"Uppsala, UB, C 225"
???,"Uppsala, UB, C 225"
"Nicholas of Lyra, Quaestiones","Vatican, BAV, Vat. lat. 4265"
Responsio ad quendam Iudaeum,"Vatican, BAV, Vat. lat. 4265"
Lucidarius de historiis sacrae scripturae,"Vatican, BAV, Vat. lat. 4265"
Guide for a Confessor,"Vatican, BAV, Vat. lat. 4265"
Guide for an Inquisitor,"Vatican, BAV, Vat. lat. 4265"
Disputatione contra Iudaeos,"Vatican, BAV, Vat. lat. 4265"
Gospel of Pseudo-Matthew,"Vatican, BAV, Vat. lat. 4265"
"Cassiodorus, Tripartite History","Vatican, BAV, Vat. lat. 4265"
Letter of Prester John,"Vatican, BAV, Vat. lat. 4265"
Vita S Antonii,"Bern, Burgerbibliothek 137"
"Jerome, Vita Hilarionis","Bern, Burgerbibliothek 137"
"Jerome, De Malcho","Bern, Burgerbibliothek 137"
Vita S Mariae Aegyptiacae,"Bern, Burgerbibliothek 137"
Vita S Euphrosinae,"Bern, Burgerbibliothek 137"
Vita S Marinae,"Bern, Burgerbibliothek 137"
Vita S Pelagiae,"Bern, Burgerbibliothek 137"
Vita S Theclae,"Bern, Burgerbibliothek 137"
Gospel of Pseudo-Matthew,"Bern, Burgerbibliothek 137"
Transitus of Mary (Ps-Melito),"Bern, Burgerbibliothek 137"
Miracles of the Virgin,"Bern, Burgerbibliothek 137"
Laus virginis Mariae contra Iudaeos,"Bern, Burgerbibliothek 137"
Vita S Bernardi,"Bern, Burgerbibliothek 137"
Vita S Adriani,"Bern, Burgerbibliothek 137"
Vita S Iulianae,"Bern, Burgerbibliothek 137"
Vita SS duorum sociorum Amelii videlicet et Amici,"Bern, Burgerbibliothek 137"
Passio S Christinae,"Bern, Burgerbibliothek 137"
Passio S Sabinae,"Bern, Burgerbibliothek 137"
Passio S Eugeniae,"Bern, Burgerbibliothek 137"
Passio S Catherinae,"Bern, Burgerbibliothek 137"
Vita S Martialis,"Bern, Burgerbibliothek 137"
Passio S Cypriani,"Bern, Burgerbibliothek 137"
Passio SS Cyrici et Iulittae,"Bern, Burgerbibliothek 137"
Canon Law,"Paris, BNF, lat. 3522A"
Tractatus de corpore et sanguine Christi,"Paris, BNF, lat. 3522A"
Gospel of Pseudo-Matthew,"Paris, BNF, lat. 3522A"
Transitus of Mary (Ps-Melito),"Paris, BNF, lat. 3522A"
"Ps-Origen, On Mary Magdalene","Paris, BNF, lat. 3522A"
"Ps-Dionysius, Martyrdom of Peter & Paul","Paris, BNF, lat. 3522A"
"Ps-Clement, Recognitiones","Paris, BNF, lat. 3522A"
Letters of Ignatius & the Virgin,"Paris, BNF, lat. 3522A"
"Sulpicius Severus, Vita S Martini","Paris, BNF, lat. 5327"
Vita S Bavonis,"Paris, BNF, lat. 5327"
Vita S Gregorii,"Paris, BNF, lat. 5327"
Passio S Caeciliae,"Paris, BNF, lat. 5327"
Vita B Walburgae virginis,"Paris, BNF, lat. 5327"
Gospel of Nicodemus,"Paris, BNF, lat. 5327"
Vengeance of the Savior,"Paris, BNF, lat. 5327"
Gospel of Pseudo-Matthew,"Paris, BNF, lat. 5327"
Dormition of Mary,"Paris, BNF, lat. 5327"
Invention of the Cross,"Paris, BNF, lat. 5327"
Life of Adam & Eve,"Paris, BNF, lat. 5327"
Vita S Basilii,"Paris, BNF, lat. 5327"
Vita S Eligii,"Paris, BNF, lat. 5327"
Vita S Eligii,"Paris, BNF, lat. 5327"
Martyrdom of John (Ps-Melito),"Paris, BNF, lat. 5327"
De B Ioanne,"Paris, BNF, lat. 5327"
Apparitio S Michaelis,"Paris, BNF, lat. 5327"
Acts of Thomas,"Paris, BNF, lat. 5327"
De S Tarsilla,"Paris, BNF, lat. 5327"
Gospel of Pseudo-Matthew,"Paris, BNF, lat. 5327"
Exaltation of the Cross,"Paris, BNF, lat. 5327"
Invention of the Cross,"Paris, BNF, lat. 5327"
Martyrdom of Andrew,"Paris, BNF, lat. 5327"
Martyrdom of Andrew,"Rome, Vallicelliana, T.III Part 1"
Passio S Barbarae,"Rome, Vallicelliana, T.III Part 1"
"John the Deacon, Vita S Nicolai","Rome, Vallicelliana, T.III Part 1"
Miraculum S Nicolai,"Rome, Vallicelliana, T.III Part 1"
Vita S Nicolai,"Rome, Vallicelliana, T.III Part 1"
Passio S Sabini Spoletini,"Rome, Vallicelliana, T.III Part 1"
"Paulinus of Milan, Vita S Ambrosii","Rome, Vallicelliana, T.III Part 1"
"Petrus Neapolitanus, Miracula S Agnelli","Rome, Vallicelliana, T.III Part 1"
Passio S Luciae,"Rome, Vallicelliana, T.III Part 1"
"Eusebius, Passio SS Eustratii, Auxentii et soc.","Rome, Vallicelliana, T.III Part 1"
Martyrdom of Thomas,"Rome, Vallicelliana, T.III Part 1"
Passio S Gregorii Spoletini,"Rome, Vallicelliana, T.III Part 1"
"Peter Chrysologus, Sermons","Rome, Vallicelliana, T.III Part 1"
"Ps-Augustine, Sermons","Rome, Vallicelliana, T.III Part 1"
"Jerome, Commentarius in euangelium Matthaei","Rome, Vallicelliana, T.III Part 1"
"Augustine, Sermons","Rome, Vallicelliana, T.III Part 1"
"Gregory the Great, Homiliae in euangelia","Rome, Vallicelliana, T.III Part 1"
Sermo in natali Domini,"Rome, Vallicelliana, T.III Part 1"
"Fulgentius, Sermons","Rome, Vallicelliana, T.III Part 1"
Translatio corporis S Stephani Constantinopolim,"Rome, Vallicelliana, T.III Part 1"
Martyrdom of John (Ps-Melito),"Rome, Vallicelliana, T.III Part 1"
"Eusebius, Historia ecclesiastica","Rome, Vallicelliana, T.III Part 1"
"Caesarius, Sermons","Rome, Vallicelliana, T.III Part 1"
Vita S Silvestri,"Rome, Vallicelliana, T.III Part 1"
"Pseudo-Amphilochius, Vita S Basilii","Rome, Vallicelliana, T.III Part 1"
"Pseudo-Amphilochius, De S Ephraem","Rome, Vallicelliana, T.III Part 1"
"Leo, Sermons","Rome, Vallicelliana, T.III Part 1"
"Passio SS Iuliani, Basilissae et soc.","Rome, Vallicelliana, T.III Part 1"
"Eugippius, Vita S Severini","Rome, Vallicelliana, T.III Part 1"
Vita S Leucii Brundisini,"Rome, Vallicelliana, T.III Part 1"
"Venantius Fortunatus, Vita S Hilarii Pictaviensis","Rome, Vallicelliana, T.III Part 1"
Passio S Felicis,"Rome, Vallicelliana, T.III Part 1"
"Odo of Glanfeuil, Vita S Mauri","Rome, Vallicelliana, T.III Part 1"
Passio S Marcelli,"Rome, Vallicelliana, T.III Part 1"
Passio S Sebastiani,"Rome, Vallicelliana, T.III Part 1"
"Ps-Ambrose, Passio S Agnetis","Rome, Vallicelliana, T.III Part 1"
Passio S Vincentii Caesaraugustani,"Rome, Vallicelliana, T.III Part 1"
Sermo in natali S Vincentii,"Rome, Vallicelliana, T.III Part 1"
Sermo in natali S Vincentii,"Rome, Vallicelliana, T.III Part 1"
Sermo in natali S Vincentii,"Rome, Vallicelliana, T.III Part 1"
"Bede, In Lucae euangelium expositio","Rome, Vallicelliana, T.III Part 1"
Sermo in purificatione S Mariae,"Rome, Vallicelliana, T.III Part 1"
Passio S Blasii,"Rome, Vallicelliana, T.III Part 1"
Passio S Agathae,"Rome, Vallicelliana, T.III Part 1"
