Text,Manuscript,Folios/Pages,Siglum,Date,Origin/Prov,Language,Link,Notes
Ps-Matthew,"London, BL, Add. 11880",215r-231r,A2a1,820,Regensburg,Latin,,
Passio S Columbae,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
De obitu S Mariae,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
"Passio SS Sixti, Laurenti et Hippolyti","London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
"Euticides, Litterae ad Marcellum","London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Donati,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio SS Nerei et Achilei atque Domitillae,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Cypriani,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Anastasiae,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Vita S Corbiniani,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Mammarii,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Christophori,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Vita S Radegundis,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Felicis,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Christinae,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Caesarii,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Albanii,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Agnetis,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Agathae,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Invention of the Cross,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Quiriaci,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Vita S Petronillae,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio SS Sulpicii et Serviliani,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Revelatione S Stephani,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio de septem dormientibus,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio Vincentiae et Margaretae,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Martyrdom of Peter and Paul,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio Beatorum Machabeorum,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Quintini,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio SS Mauricii,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Marinae,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
Passio S Scilitani,"London, BL, Add. 11880",,A2a1,820,Regensburg,Latin,,
"Jonas Aurelianensis, Epistola ad Waltcaudum Leodiensem","Vienna, ONB, 550",1r-2v,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
Passio S Hugberti,"Vienna, ONB, 550",2v-32r,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
Passio S Luciae,"Vienna, ONB, 550",33r-37r,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
Passio S Anastasiae,"Vienna, ONB, 550",37r-40r,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
Passio S Ceciliae,"Vienna, ONB, 550",40r-59r,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
Passio B Eugeniae,"Vienna, ONB, 550",59r-74r,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
Passio S Euphemiae,"Vienna, ONB, 550",74r-84v,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
Ps-Matthew,"Vienna, ONB, 550",85r-93v,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
Vita S Vedasti,"Vienna, ONB, 550",94r-108v,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
"Alcuin, Homelia in die natali S Vedasti","Vienna, ONB, 550",109r-112r,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
"Alcuin, Versus duo in abbatem Radonem","Vienna, ONB, 550",112r,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
"Alcuin, Hymnus in Vedastum","Vienna, ONB, 550",112r-112v,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
"Alcuin, Versus aliquot in S Vedastum","Vienna, ONB, 550",113r-113v,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
Passio SS Faustini et Jovitae,"Vienna, ONB, 550",114r-125v,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
"Ambrose, Commentarius in epistolam primam Pauli ad Corinthios","Vienna, ONB, 550",125v-129v,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,extracts
Passio S Christophori,"Vienna, ONB, 550",130v-135r,A1a1,900-999,N France,Latin,http://data.onb.ac.at/dtl/2939587,
Ps-Matthew,"Rheims, BM 1395",2r-17r,A1a2,850,Rheims,Latin,,
Transitus Mariae (Ps-Melito),"Rheims, BM 1395",18r-25r,A1a2,850,Rheims,Latin,,
"Ambrosius Autpertus, Sermo de assumptione Mariae","Rheims, BM 1395",,A1a2,850,Rheims,Latin,,
Ps-Matthew,"Budapest, SBN, Clmae 316",1r-29r,A3a1,825,Salzburg,Latin,,
Expositio super missam,"Budapest, SBN, Clmae 316",29r-51r,A3a1,825,Salzburg,Latin,,
"Hrabanus Maurus, De institutione clericorum","Budapest, SBN, Clmae 316",,A3a1,825,Salzburg,Latin,,extracts
"Sulpicius Severus, Vita S Martini","Paris, BNF, lat. 5327",1r-8v,A1c1,900-999,Saint-Amand-les-Eaux,Latin,,
Vita S Bavonis,"Paris, BNF, lat. 5327",9r-13v,A1c1,900-999,Saint-Amand-les-Eaux,Latin,,
Vita S Gregorii,"Paris, BNF, lat. 5327",13v-18v,A1c1,900-999,Saint-Amand-les-Eaux,Latin,,
Passio S Ceciliae,"Paris, BNF, lat. 5327",19r-24v,A1c1,900-999,Saint-Amand-les-Eaux,Latin,,
Vita B Walburgae virginis,"Paris, BNF, lat. 5327",25r-35v,A1c1,900-999,Saint-Amand-les-Eaux,Latin,,
Gospel of Nicodemus,"Paris, BNF, lat. 5327",35v–55r,A1c1,900-999,Saint-Amand-les-Eaux,Latin,,
Vengeance of the Savior,"Paris, BNF, lat. 5327",55r–61v,A1c1,900-999,Saint-Amand-les-Eaux,Latin,,
