Text,Manuscript,Folios/Pages,Siglum,Date,Origin/Prov,Language,Link,Notes
Martyrdom of Peter and Paul,"Montpellier, Bibliothèque de la Faculté de médicine 55",2r-8v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of Andrew,"Montpellier, Bibliothèque de la Faculté de médicine 55",8v-11v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of James the Less,"Montpellier, Bibliothèque de la Faculté de médicine 55",11v-12r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of John (Ps-Melito),"Montpellier, Bibliothèque de la Faculté de médicine 55",12r-17v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of James the Great,"Montpellier, Bibliothèque de la Faculté de médicine 55",17v-20r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of Thomas,"Montpellier, Bibliothèque de la Faculté de médicine 55",20r-21v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of Bartholomew,"Montpellier, Bibliothèque de la Faculté de médicine 55",21v-25v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of Matthew,"Montpellier, Bibliothèque de la Faculté de médicine 55",25v-30v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of Simon and Jude,"Montpellier, Bibliothèque de la Faculté de médicine 55",30v-35v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of Philip,"Montpellier, Bibliothèque de la Faculté de médicine 55",35v-36v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Quintini,"Montpellier, Bibliothèque de la Faculté de médicine 55",36v-41r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Vedasti,"Montpellier, Bibliothèque de la Faculté de médicine 55",41r-45r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Dionysii,"Montpellier, Bibliothèque de la Faculté de médicine 55",45r-46v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita B Remigii,"Montpellier, Bibliothèque de la Faculté de médicine 55",46v-48v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Paterni,"Montpellier, Bibliothèque de la Faculté de médicine 55",48v-51r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Gesta S Clementis papae,"Montpellier, Bibliothèque de la Faculté de médicine 55",51r-54v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Silvestri papae,"Montpellier, Bibliothèque de la Faculté de médicine 55",54v-71v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Agatae,"Montpellier, Bibliothèque de la Faculté de médicine 55",71v-74r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Luciae,"Montpellier, Bibliothèque de la Faculté de médicine 55",74r-76r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Ensemiae,"Montpellier, Bibliothèque de la Faculté de médicine 55",76r-80v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio SS Chrisantii et Dariae,"Montpellier, Bibliothèque de la Faculté de médicine 55",80v-87v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Gertrudis,"Montpellier, Bibliothèque de la Faculté de médicine 55",87v-93v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita B Audoini,"Montpellier, Bibliothèque de la Faculté de médicine 55",93v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Ps-Matthew,"Montpellier, Bibliothèque de la Faculté de médicine 55",94r-97v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,Part of J Compilation
Transitus Mariae (Ps-Melito),"Montpellier, Bibliothèque de la Faculté de médicine 55",97v-101r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Iuliae,"Montpellier, Bibliothèque de la Faculté de médicine 55",101r-102v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Melani,"Montpellier, Bibliothèque de la Faculté de médicine 55",102v-104r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Eufraxiae,"Montpellier, Bibliothèque de la Faculté de médicine 55",104r-112r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Acts of Paul & Thecla,"Montpellier, Bibliothèque de la Faculté de médicine 55",112r-118r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Marinae,"Montpellier, Bibliothèque de la Faculté de médicine 55",118r-122v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Eufemiae,"Montpellier, Bibliothèque de la Faculté de médicine 55",122v-126v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio B Ceciliae,"Montpellier, Bibliothèque de la Faculté de médicine 55",126v-131r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio SS Valeriani et Tiburtii,"Montpellier, Bibliothèque de la Faculté de médicine 55",131r-135r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Converio et passio S Afrae,"Montpellier, Bibliothèque de la Faculté de médicine 55",135r-139r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Eufrosinae,"Montpellier, Bibliothèque de la Faculté de médicine 55",139r-142v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Eugeniae,"Montpellier, Bibliothèque de la Faculté de médicine 55",143v-151r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Columbae,"Montpellier, Bibliothèque de la Faculté de médicine 55",151r-152v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio SS Fructuosi episcopi Augurii et Euloci diaconorum,"Montpellier, Bibliothèque de la Faculté de médicine 55",152v-153v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Patrocli,"Montpellier, Bibliothèque de la Faculté de médicine 55",153v-156r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
"Passio S Speosippi, Eleosippi, et Meleusippi","Montpellier, Bibliothèque de la Faculté de médicine 55",156r-160v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrum S Babillae,"Montpellier, Bibliothèque de la Faculté de médicine 55",160v-163r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Sabinae,"Montpellier, Bibliothèque de la Faculté de médicine 55",163r-166r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Paulae,"Montpellier, Bibliothèque de la Faculté de médicine 55",166r-179r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Protevangelium of James,"Montpellier, Bibliothèque de la Faculté de médicine 55",179r-183v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,8-25
Passio S Dorotheae et Tiopholi,"Montpellier, Bibliothèque de la Faculté de médicine 55",183v-184r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Iulianae,"Montpellier, Bibliothèque de la Faculté de médicine 55",184v-188v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Marcelli,"Montpellier, Bibliothèque de la Faculté de médicine 55",188v-191r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Privati,"Montpellier, Bibliothèque de la Faculté de médicine 55",191r-192v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Vincentii,"Montpellier, Bibliothèque de la Faculté de médicine 55",192v-194v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Marcelli,"Montpellier, Bibliothèque de la Faculté de médicine 55",194v-196r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Ferreoli,"Montpellier, Bibliothèque de la Faculté de médicine 55",196r-197r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Christophori,"Montpellier, Bibliothèque de la Faculté de médicine 55",197v-200v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio SS Luceiae et Euiadae regis,"Montpellier, Bibliothèque de la Faculté de médicine 55",200v-201v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio SS Eleutheri et Anthiae,"Montpellier, Bibliothèque de la Faculté de médicine 55",201v-203v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
"Martyrium SS Romani, Hisici, et Bafalei Barulae","Montpellier, Bibliothèque de la Faculté de médicine 55",203v-206v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Benigni,"Montpellier, Bibliothèque de la Faculté de médicine 55",206v-207v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Adriani,"Montpellier, Bibliothèque de la Faculté de médicine 55",207v-216v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Memorii,"Montpellier, Bibliothèque de la Faculté de médicine 55",216v-218r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
"Passio SS Andochii, Tyrsi, et Felicis","Montpellier, Bibliothèque de la Faculté de médicine 55",218r-222v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
