Text,Manuscript,Folios/Pages,Siglum,Date,Origin/Prov,Language,Link,Notes
Martyrdom of Peter and Paul,"Montpellier, BFM 55",2r-8v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of Andrew,"Montpellier, BFM 55",8v-11v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of James the Less,"Montpellier, BFM 55",11v-12r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of John (Ps-Melito),"Montpellier, BFM 55",12r-17v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of James the Great,"Montpellier, BFM 55",17v-20r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of Thomas,"Montpellier, BFM 55",20r-21v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of Bartholomew,"Montpellier, BFM 55",21v-25v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of Matthew,"Montpellier, BFM 55",25v-30v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of Simon and Jude,"Montpellier, BFM 55",30v-35v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrdom of Philip,"Montpellier, BFM 55",35v-36v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Quintini,"Montpellier, BFM 55",36v-41r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Vedasti,"Montpellier, BFM 55",41r-45r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Dionysii,"Montpellier, BFM 55",45r-46v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita B Remigii,"Montpellier, BFM 55",46v-48v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Paterni,"Montpellier, BFM 55",48v-51r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Clementis,"Montpellier, BFM 55",51r-54v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Silvestri,"Montpellier, BFM 55",54v-71v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Agatae,"Montpellier, BFM 55",71v-74r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Luciae,"Montpellier, BFM 55",74r-76r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Ensemiae,"Montpellier, BFM 55",76r-80v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio SS Chrisantii et Dariae,"Montpellier, BFM 55",80v-87v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Gertrudis,"Montpellier, BFM 55",87v-93v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita B Audoini,"Montpellier, BFM 55",93v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Ps-Matthew,"Montpellier, BFM 55",94r-97v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,Part of J Compilation
Transitus Mariae (Ps-Melito),"Montpellier, BFM 55",97v-101r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Iuliae,"Montpellier, BFM 55",101r-102v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Melani,"Montpellier, BFM 55",102v-104r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Eufraxiae,"Montpellier, BFM 55",104r-112r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Acts of Paul & Thecla,"Montpellier, BFM 55",112r-118r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Marinae,"Montpellier, BFM 55",118r-122v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Eufemiae,"Montpellier, BFM 55",122v-126v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio B Ceciliae,"Montpellier, BFM 55",126v-131r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio SS Valeriani et Tiburtii,"Montpellier, BFM 55",131r-135r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Converio et passio S Afrae,"Montpellier, BFM 55",135r-139r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Eufrosinae,"Montpellier, BFM 55",139r-142v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Eugeniae,"Montpellier, BFM 55",143v-151r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Columbae,"Montpellier, BFM 55",151r-152v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio SS Fructuosi episcopi Augurii et Euloci diaconorum,"Montpellier, BFM 55",152v-153v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Patrocli,"Montpellier, BFM 55",153v-156r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
"Passio S Speosippi, Eleosippi, et Meleusippi","Montpellier, BFM 55",156r-160v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Martyrum S Babillae,"Montpellier, BFM 55",160v-163r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Sabinae,"Montpellier, BFM 55",163r-166r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Paulae,"Montpellier, BFM 55",166r-179r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Protevangelium of James,"Montpellier, BFM 55",179r-183v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,8-25
Passio S Dorotheae et Tiopholi,"Montpellier, BFM 55",183v-184r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Iulianae,"Montpellier, BFM 55",184v-188v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Vita S Marcelli,"Montpellier, BFM 55",188v-191r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Privati,"Montpellier, BFM 55",191r-192v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Vincentii,"Montpellier, BFM 55",192v-194v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Marcelli,"Montpellier, BFM 55",194v-196r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Ferreoli,"Montpellier, BFM 55",196r-197r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Christophori,"Montpellier, BFM 55",197v-200v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio SS Luceiae et Euiadae regis,"Montpellier, BFM 55",200v-201v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio SS Eleutheri et Anthiae,"Montpellier, BFM 55",201v-203v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
"Martyrium SS Romani, Hisici, et Bafalei Barulae","Montpellier, BFM 55",203v-206v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Benigni,"Montpellier, BFM 55",206v-207v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Adriani,"Montpellier, BFM 55",207v-216v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
Passio S Memorii,"Montpellier, BFM 55",216v-218r,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
"Passio SS Andochii, Tyrsi, et Felicis","Montpellier, BFM 55",218r-222v,Ja1,800,Metz,Latin,http://www.biu-montpellier.fr/florabium/jsp/nodoc.jsp?NODOC=2014_DOC_MON1_MBUM_53,
