Text,Manuscript,Folios/Pages,Siglum,Date,Origin/Prov,Language,Link,Notes
Passio S Christophori,"Paris, BNF, nouv. acq. lat. 1605 ",1r-3v,P1b3,800-899,Orleans,Latin,,
Gospel of Nicodemus,"Paris, BNF, nouv. acq. lat. 1605 ",4r-16v,P1b3,800-899,Orleans,Latin,,
Ps-Matthew,"Paris, BNF, nouv. acq. lat. 1605 ",16v-26v,P1b3,800-899,Orleans,Latin,,
Transitus Mariae (Ps-Melito),"Paris, BNF, nouv. acq. lat. 1605 ",26v-30v,P1b3,800-899,Orleans,Latin,,
Miracles of the Virgin,"Paris, BNF, nouv. acq. lat. 1605 ",30v-32v,P1b3,800-899,Orleans,Latin,,
"Ps-Augustine, Sermons","Paris, BNF, nouv. acq. lat. 1605 ",32v-35v,P1b3,800-899,Orleans,Latin,,
"Passio SS Sixti, Laurentii, et Hippolyti","Paris, BNF, nouv. acq. lat. 1605 ",35v-38r,P1b3,800-899,Orleans,Latin,,
Passio S Laurenti,"Paris, BNF, nouv. acq. lat. 1605 ",38r-43r,P1b3,800-899,Orleans,Latin,,
"Defensor, Liber Scintillarum","Paris, BNF, nouv. acq. lat. 1605 ",44r-46v,P1b3,800-899,Orleans,Latin,,
Ps-Matthew,"Vatican, BAV, Pal. lat. 430",133r-139v,P1c1,840,SW Germany,Latin,http://digi.ub.uni-heidelberg.de/diglit/bav_pal_lat_430,1:1-13:5
Sermons,"Vatican, BAV, Pal. lat. 430",passim,P1c1,840,SW Germany,Latin,http://digi.ub.uni-heidelberg.de/diglit/bav_pal_lat_430,
Apparitio S Michaelis,"Vatican, BAV, Pal. lat. 430",184r-185v,P1c1,840,SW Germany,Latin,http://digi.ub.uni-heidelberg.de/diglit/bav_pal_lat_430,
Transitus Mariae (Ps-Melito),"Vatican, BAV, Pal. lat. 430",109r-110v,P1c1,840,SW Germany,Latin,http://digi.ub.uni-heidelberg.de/diglit/bav_pal_lat_430,
Ps-Matthew,"Karlsruhe, Bad. Land., Frag. 94 ",1,P1y1,850,Reichenau,Latin,,"Fragment of 1 folio, 8:3-5"
