Text,Manuscript,Folios/Pages,Siglum,Date,Origin/Prov,Language,Link,Notes
"Gregory, Dialogues","Berlin, SB, Preus. Kult., Theol. lat. qu. 369",1r-34r,R1b4,1200-1299,N France,Latin,http://bilder.manuscripta-mediaevalia.de/hs/katalogseiten/HSK0009_a214_jpg.htm,"books I, III, IV"
Miracles of the Virgin,"Berlin, SB, Preus. Kult., Theol. lat. qu. 369",35r-46r,R1b4,1200-1299,N France,Latin,http://bilder.manuscripta-mediaevalia.de/hs/katalogseiten/HSK0009_a214_jpg.htm,BHL 5357-5359
"Jacobus, Golden Legend","Berlin, SB, Preus. Kult., Theol. lat. qu. 369","50r-51v, 52r-55v",R1b4,1200-1299,N France,Latin,http://bilder.manuscripta-mediaevalia.de/hs/katalogseiten/HSK0009_a214_jpg.htm,extracts
"Innocent III, De sacro altaris mysterio","Berlin, SB, Preus. Kult., Theol. lat. qu. 369",51v-52r,R1b4,1200-1299,N France,Latin,http://bilder.manuscripta-mediaevalia.de/hs/katalogseiten/HSK0009_a214_jpg.htm,
"Gilbert, Chronicon pontificum et imperatorum","Berlin, SB, Preus. Kult., Theol. lat. qu. 369",55v-58r,R1b4,1200-1299,N France,Latin,http://bilder.manuscripta-mediaevalia.de/hs/katalogseiten/HSK0009_a214_jpg.htm,
Sermons,"Berlin, SB, Preus. Kult., Theol. lat. qu. 369",58r-v,R1b4,1200-1299,N France,Latin,http://bilder.manuscripta-mediaevalia.de/hs/katalogseiten/HSK0009_a214_jpg.htm,
Ps-Matthew,"Berlin, SB, Preus. Kult., Theol. lat. qu. 369",58v-64r,R1b4,1200-1299,N France,Latin,http://bilder.manuscripta-mediaevalia.de/hs/katalogseiten/HSK0009_a214_jpg.htm,
Gospel of Nicodemus,"Berlin, SB, Preus. Kult., Theol. lat. qu. 369",64r-65v,R1b4,1200-1299,N France,Latin,http://bilder.manuscripta-mediaevalia.de/hs/katalogseiten/HSK0009_a214_jpg.htm,1:1-13:2
Life of Adam & Eve,"Berlin, SB, Preus. Kult., Theol. lat. qu. 369",66r-67v,R1b4,1200-1299,N France,Latin,http://bilder.manuscripta-mediaevalia.de/hs/katalogseiten/HSK0009_a214_jpg.htm,
De poenis inferni,"Berlin, SB, Preus. Kult., Theol. lat. qu. 369",67v-68r,R1b4,1200-1299,N France,Latin,http://bilder.manuscripta-mediaevalia.de/hs/katalogseiten/HSK0009_a214_jpg.htm,Macharius? PL 73.797-98
Sententiae,"Berlin, SB, Preus. Kult., Theol. lat. qu. 369",68r-70v,R1b4,1200-1299,N France,Latin,http://bilder.manuscripta-mediaevalia.de/hs/katalogseiten/HSK0009_a214_jpg.htm,
Ps-Matthew,"Paris, BNF, lat. 5560",1-39,R2c1,1290-1310,?,Latin,,
